"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"East Asia & Pacific (excluding high income)","EAP","GDP (current US$)","NY.GDP.MKTP.CD","1737749129261.34","1848789443485.75","2046198377299.86","2315828971757.44","2685127810718.16","3110134079005.81","3745631317286.55","4735293106343.03","5990763203434.57","6496157409688.57","7874770924892.71","9620273762794.09","10727640354235.6","11835629991510.1","12761629787232.4","13294602254117.5","13575794190520.2","14835961478596.2","16594146987960.9","17214775860650.6","",
"Early-demographic dividend","EAR","GDP (current US$)","NY.GDP.MKTP.CD","3310687184969.08","3276711855487.97","3181210763289.98","3538817561930.62","4114924539187.26","4796423014020.85","5484204669702.29","6503649718661.96","7333172265219.8","7059238259316.22","8575074872867.32","9613820765240.14","10081635886117.6","10259814437389.4","10620471211777","10311638541292.5","10550444704869.4","11399719349294.5","11645984950915.1","11989867025219.9","",
"East Asia & Pacific","EAS","GDP (current US$)","NY.GDP.MKTP.CD","8297737596565.15","7718742373703.43","7844844857116.39","8626683823605.11","9677471508167.63","10332368400735","10960408641318.3","12262928056571.1","14148068323132.9","14572385316546.3","16988747056146.3","19687376400049.3","21072075411804.3","21318560290646.4","22002182897791.7","21911638600129.5","22658589044442.5","24222685964338.3","26351346134237.6","26987767528542.9","",
"Europe & Central Asia (excluding high income)","ECA","GDP (current US$)","NY.GDP.MKTP.CD","662443215872.783","655123660901.53","750180416420.847","946383625544.812","1255527832569.56","1587456615931.05","1946458171775.82","2503767485968.78","3102574233333.85","2434007908564.62","2944940077492.75","3660261685135.84","3904070673139.4","4139016998710.19","3841761017808.3","2916638590939.38","2773218419978.23","3114811233223.44","3192144799381.44","3248461689441.89","",
"Europe & Central Asia","ECS","GDP (current US$)","NY.GDP.MKTP.CD","10032230959415","10142982958803.1","11088759677981.1","13500552311959.7","15738381687087.3","16757261510763","18146349641681.8","21201858431040.7","23274110108626.4","20471170410114.7","20967706431399.6","23249955211795","22412505450270.7","23421005051887.5","23738526473026","20450302716605.9","20388826551162.8","21610837008711.6","23145668465857.4","22792819661712.7","",
"Ecuador","ECU","GDP (current US$)","NY.GDP.MKTP.CD","18327764882.4412","24468324000","28548945000","32432858000","36591661000","41507085000","46802044000","51007777000","61762635000","62519686000","69555367000","79276664000","87924544000","95129659000","101726331000","99290381000","99937696000","104295862000","107562008000","107435665000","",
"Egypt, Arab Rep.","EGY","GDP (current US$)","NY.GDP.MKTP.CD","99838543960.0763","96684636118.5984","85146067415.7303","80288461538.4615","78782467532.4675","89600665557.4043","107426086956.522","130437828371.278","162818181818.182","189147005444.646","218983666061.706","235989672977.625","279116666666.667","288434108527.132","305595408895.265","329366576819.407","332441717791.411","235733695652.174","249712999437.254","303092255125.285","",
"Euro area","EMU","GDP (current US$)","NY.GDP.MKTP.CD","6479499625836.77","6590446636963.66","7166146903956.65","8842875774260.72","10141431551374.2","10519142335365.4","11174369784984.6","12862413685145.5","14099137973401.2","12885825162594.8","12628837653379.8","13623185516340.3","12639557374481.5","13190250310518","13490553822082.7","11668482860489.5","11967164887075.7","12671044522003.4","13686889517984.1","13356063677260.5","",
"Eritrea","ERI","GDP (current US$)","NY.GDP.MKTP.CD","706370815.584416","752368495.512622","729321366.651861","870247703.182758","1109054005.43971","1098425900.74116","1211161879.6748","1317974491.05691","1380188800","1856695551.21951","1589515447.15447","2065001626.01626","","","","","","","","","",
"Spain","ESP","GDP (current US$)","NY.GDP.MKTP.CD","596877648793.072","627286800894.855","705394315829.098","905492099322.799","1067093369754.16","1153285660987.44","1259343871534.31","1472131125102.66","1625224842536.99","1485583495415.39","1420722034063","1478772824224.03","1324820091194.67","1354757433212.72","1369398844599.58","1195119269971.52","1232076017361.53","1312539279462.36","1422153839840.78","1393490524517.64","",
